level,group,method,method_label,metric,registered_n,failure_n,finite_n,median,p95,max,audit_status_R1,audit_status_R2,observer_discrepancy_R2
type,D46,LC01,LC01,yaw_rmse_deg,9,0,9,2.9948274600591076,2.9948274600591076,2.9948274600591076,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.852900207884354e-14,""up_max_m"":1.3874318360862503e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D46,LC01,LC01,horizontal_rmse_m,9,0,9,0.0975479714305497,0.0975479714305497,0.0975479714305497,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.852900207884354e-14,""up_max_m"":1.3874318360862503e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D46,LC01,LC01,up_rmse_m,9,0,9,0.05066431825806066,0.05066431825806066,0.05066431825806066,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.852900207884354e-14,""up_max_m"":1.3874318360862503e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D46,EXT05C,EXT05C,yaw_rmse_deg,9,0,9,12.048641737808111,12.048641737808111,12.048641737808111,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D46,EXT05C,EXT05C,horizontal_rmse_m,9,0,9,0.0877508129138417,0.0877508129138417,0.0877508129138417,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D46,EXT05C,EXT05C,up_rmse_m,9,0,9,0.05646995229568549,0.05646995229568549,0.05646995229568549,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D47,LC01,LC01,yaw_rmse_deg,9,0,9,2.9948274600591076,2.9948274600591076,2.9948274600591076,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.852900207884354e-14,""up_max_m"":1.3874318360862503e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D47,LC01,LC01,horizontal_rmse_m,9,0,9,0.0975479714305497,0.0975479714305497,0.0975479714305497,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.852900207884354e-14,""up_max_m"":1.3874318360862503e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D47,LC01,LC01,up_rmse_m,9,0,9,0.05066431825806066,0.05066431825806066,0.05066431825806066,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.852900207884354e-14,""up_max_m"":1.3874318360862503e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D47,EXT05C,EXT05C,yaw_rmse_deg,9,0,9,12.048641737808111,12.048641737808111,12.048641737808111,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
